,total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition
47,17,3600000.0,56.1,2018-10-18T00:00:00,3,,4.0,42.5,3,,False,False,5.7,1.0,Гатчина,,,,,,,179.00000000000003
48,10,3600000.0,33.83,2017-10-03T00:00:00,1,,24.0,15.35,6,,False,False,9.5,,Санкт-Петербург,21460.0,16788.0,0.0,,1.0,170.0,322.0
49,1,3050000.0,30.8,2018-11-22T00:00:00,1,2.5,9.0,18.0,7,,False,False,6.0,,Санкт-Петербург,45341.0,16603.0,1.0,675.0,0.0,,
50,1,4500000.0,48.2,2017-11-13T00:00:00,1,2.7,5.0,25.4,4,False,False,False,9.0,1.0,Пушкин,19841.0,30183.0,1.0,531.0,3.0,330.0,152.0
51,7,45000000.0,161.0,2017-10-17T00:00:00,3,3.2,8.0,38.0,4,,False,False,50.0,,Санкт-Петербург,32537.0,6589.0,0.0,,3.0,99.0,541.0
52,20,11795000.0,136.0,2017-09-22T00:00:00,6,3.0,2.0,94.0,2,,False,False,11.0,1.0,Санкт-Петербург,16510.0,6582.0,1.0,526.0,0.0,,
53,7,4300000.0,39.1,2017-11-10T00:00:00,1,,25.0,15.4,13,,False,False,15.5,2.0,посёлок Парголово,52611.0,18783.0,0.0,,0.0,,6.000000000000001
54,6,3320000.0,36.5,2017-04-14T00:00:00,1,,24.0,14.0,6,,False,False,12.0,0.0,Санкт-Петербург,33331.0,14495.0,0.0,,0.0,,44.00000000000001
55,20,7400000.0,58.8,2018-03-24T00:00:00,2,2.6,10.0,33.7,9,,False,False,10.7,,Санкт-Петербург,10643.0,12260.0,0.0,,1.0,998.0,69.0
56,14,4350000.0,41.0,2016-03-28T00:00:00,1,2.8,7.0,18.1,4,False,False,False,11.1,2.0,Санкт-Петербург,13772.0,9626.0,1.0,271.0,1.0,439.0,152.0
57,7,3200000.0,45.0,2017-10-25T00:00:00,1,,25.0,17.0,10,,False,False,12.0,,посёлок Шушары,13097.0,18883.0,0.0,,1.0,649.0,173.0
58,11,3900000.0,33.0,2017-07-05T00:00:00,1,2.6,9.0,19.0,5,,False,False,7.0,,Санкт-Петербург,12988.0,15579.0,0.0,,2.0,898.0,298.0
59,15,6300000.0,46.5,2017-03-06T00:00:00,1,,13.0,,13,,False,False,,,Санкт-Петербург,11125.0,14501.0,0.0,,0.0,,336.0
60,3,2740000.0,35.0,2018-01-01T00:00:00,1,,12.0,,8,,False,False,,,посёлок Мурино,,,,,,,11.000000000000002
61,18,7990000.0,74.0,2017-08-24T00:00:00,2,,4.0,43.0,4,,False,False,20.0,,Санкт-Петербург,22568.0,4288.0,1.0,363.0,0.0,,609.0
62,0,4800000.0,78.6,2017-09-17T00:00:00,3,2.8,9.0,48.8,5,,False,False,11.9,2.0,Сертолово,,,,,,,5.0
63,2,20000000.0,118.0,2018-09-11T00:00:00,3,3.0,9.0,68.0,7,,False,False,16.0,,Санкт-Петербург,26055.0,4800.0,1.0,648.0,1.0,779.0,37.0
64,13,3100000.0,44.3,2017-11-07T00:00:00,2,2.5,5.0,29.0,5,,False,False,5.3,,Гатчина,,,,,,,143.0
65,7,4400000.0,57.0,2018-03-03T00:00:00,3,2.5,5.0,39.0,2,,False,False,7.0,,Санкт-Петербург,35361.0,10484.0,0.0,,0.0,,216.0
66,6,3450000.0,34.0,2015-12-16T00:00:00,1,2.6,17.0,17.4,8,False,False,False,11.5,2.0,поселок Мурино,,,,,,,186.00000000000003
67,6,2550000.0,31.0,2018-08-28T00:00:00,1,2.5,5.0,15.4,4,,False,False,7.2,,Ломоносов,47675.0,51100.0,0.0,,2.0,490.0,39.0
68,11,4150000.0,74.0,2017-08-04T00:00:00,3,2.8,5.0,44.0,1,,False,False,8.0,2.0,деревня Фёдоровское,,,,,,,234.0
69,6,4010000.0,50.7,2018-09-16T00:00:00,2,2.6,5.0,28.9,5,False,False,False,9.0,2.0,Выборг,,,,,,,194.00000000000003
70,9,3400000.0,30.0,2018-09-05T00:00:00,1,,5.0,16.0,1,,False,False,7.0,,Санкт-Петербург,39053.0,8313.0,1.0,382.0,0.0,,14.0
71,20,4850000.0,57.5,2019-03-27T00:00:00,3,2.5,9.0,39.0,8,,False,False,6.2,,Санкт-Петербург,33623.0,12267.0,1.0,334.0,1.0,333.0,
72,10,4500000.0,55.0,2018-12-09T00:00:00,2,2.7,3.0,35.5,2,,False,False,7.5,1.0,Кронштадт,68258.0,49984.0,3.0,167.0,3.0,118.0,141.0
73,10,4750000.0,73.8,2016-03-14T00:00:00,3,,10.0,44.8,1,False,False,False,10.4,0.0,посёлок Парголово,53817.0,23742.0,0.0,,3.0,631.0,166.0
74,3,2350000.0,34.0,2018-06-14T00:00:00,1,2.5,9.0,19.0,8,,False,False,7.1,,Колпино,26765.0,32551.0,1.0,445.0,1.0,996.0,121.0
75,19,4950000.0,44.0,2018-02-27T00:00:00,2,2.7,23.0,21.0,19,,False,False,15.0,2.0,Санкт-Петербург,15749.0,14545.0,0.0,,0.0,,36.0
76,12,2800000.0,55.1,2016-05-14T00:00:00,3,2.6,5.0,38.4,1,,False,False,4.9,,Кировск,,,,,,,606.0
77,7,4300000.0,62.1,2016-03-13T00:00:00,3,2.55,5.0,43.5,1,False,False,False,7.3,0.0,Санкт-Петербург,19646.0,15572.0,1.0,231.0,2.0,854.0,186.00000000000003
78,9,4350000.0,37.0,2018-02-22T00:00:00,1,,19.0,18.0,6,,False,False,10.7,,Санкт-Петербург,34324.0,14192.0,0.0,,0.0,,45.00000000000001
79,12,2590000.0,55.7,2017-12-18T00:00:00,3,2.5,4.0,42.6,4,,False,False,7.0,,Кировск,,,,,,,463.0
80,8,4050000.0,79.1,2018-02-23T00:00:00,3,3.0,15.0,45.23,1,,False,False,11.95,1.0,деревня Новое Девяткино,,,,,,,235.0
81,9,10949000.0,68.0,2018-12-27T00:00:00,1,,10.0,,6,,False,False,,,Санкт-Петербург,,,,,,,
82,3,4500000.0,80.5,2018-01-15T00:00:00,3,,25.0,,16,,False,False,,,посёлок Шушары,12430.0,18217.0,0.0,,0.0,,60.0
83,10,4200000.0,41.4,2018-09-24T00:00:00,1,2.7,25.0,16.5,20,,False,False,10.2,,посёлок Парголово,53554.0,19107.0,0.0,,0.0,,81.0
84,11,2400000.0,43.9,2019-03-13T00:00:00,2,,2.0,27.46,1,,False,False,5.2,,Кировск,,,,,,,
85,13,5200000.0,46.3,2018-11-26T00:00:00,2,3.0,5.0,27.8,5,,False,False,8.0,,Санкт-Петербург,13334.0,9319.0,0.0,,1.0,682.0,65.0
86,15,4500000.0,63.0,2018-07-17T00:00:00,2,,11.0,36.0,3,,False,False,9.0,2.0,посёлок Металлострой,26128.0,27825.0,0.0,,0.0,,100.0
87,19,4999000.0,52.0,2019-04-23T00:00:00,2,2.61,9.0,30.0,6,,False,False,9.0,2.0,Санкт-Петербург,12444.0,15035.0,0.0,,1.0,881.0,
88,0,1700000.0,33.1,2019-04-09T00:00:00,1,,5.0,18.4,1,,False,False,6.4,,посёлок городского типа Лебяжье,,,,,,,
89,9,2500000.0,63.0,2018-10-25T00:00:00,3,2.5,5.0,43.0,4,,False,False,9.0,,посёлок городского типа Сиверский,,,,,,,45.00000000000001
90,9,6450000.0,67.7,2017-09-16T00:00:00,3,,9.0,40.0,4,,False,False,8.0,1.0,Санкт-Петербург,32668.0,13832.0,0.0,,0.0,,534.0
91,20,2130000.0,54.0,2015-10-28T00:00:00,2,,3.0,28.0,1,,False,False,8.5,0.0,поселок Молодцово,,,,,,,439.0
92,10,4200000.0,72.0,2017-11-17T00:00:00,2,,12.0,45.0,4,,False,False,10.0,,поселок городского типа Кузьмоловский,,,,,,,54.0
93,10,3500000.0,40.4,2016-06-15T00:00:00,1,2.75,9.0,20.0,7,False,False,False,10.0,1.0,Санкт-Петербург,32574.0,11648.0,1.0,511.0,0.0,,239.0
94,3,3500000.0,29.5,2019-04-26T00:00:00,1,2.5,5.0,15.6,2,,False,False,5.5,1.0,Санкт-Петербург,12921.0,7303.0,0.0,,0.0,,4.0
95,14,5150000.0,47.0,2018-08-06T00:00:00,2,2.75,9.0,28.1,9,False,False,False,7.0,2.0,Санкт-Петербург,10142.0,13743.0,2.0,751.0,1.0,881.0,34.0
96,20,8780000.0,78.3,2018-08-24T00:00:00,3,2.5,15.0,51.0,9,,False,False,11.0,,Санкт-Петербург,52108.0,16333.0,0.0,,1.0,746.0,31.0
97,15,4898000.0,146.0,2019-02-12T00:00:00,4,,2.0,77.0,2,,False,False,13.0,,Выборг,,,,,,,34.0
98,11,11700000.0,80.0,2014-12-10T00:00:00,3,,5.0,55.1,3,,False,False,11.0,0.0,Санкт-Петербург,11248.0,8767.0,1.0,666.0,0.0,,831.0
99,32,9600000.0,90.0,2017-09-26T00:00:00,4,,5.0,67.0,2,,False,False,8.0,,Санкт-Петербург,23277.0,2818.0,0.0,,0.0,,104.0
100,16,3800000.0,38.6,2018-02-22T00:00:00,1,,9.0,18.0,6,,False,False,8.4,2.0,Санкт-Петербург,36450.0,13364.0,0.0,,0.0,,8.0
101,4,3000000.0,37.0,2019-03-23T00:00:00,1,2.75,10.0,12.0,3,,False,False,13.0,,садовое товарищество Новая Ропша,,,,,,,
102,7,3700000.0,33.0,2016-04-15T00:00:00,1,,14.0,18.0,2,,False,False,6.2,1.0,Санкт-Петербург,49214.0,16140.0,0.0,,0.0,,88.00000000000001
103,14,4800000.0,35.0,2018-10-04T00:00:00,1,2.7,25.0,17.0,9,,False,False,9.0,,Санкт-Петербург,42499.0,9719.0,0.0,,0.0,,19.0
104,15,6900000.0,77.2,2018-04-18T00:00:00,4,2.6,9.0,61.0,1,,False,False,6.0,,Санкт-Петербург,12403.0,10787.0,0.0,,1.0,713.0,300.0
105,12,4900000.0,32.0,2018-01-07T00:00:00,1,,25.0,15.0,5,,False,False,9.0,,Санкт-Петербург,52480.0,15598.0,0.0,,1.0,464.0,60.0
106,9,10500000.0,124.1,2017-05-25T00:00:00,5,3.2,4.0,79.4,3,,False,False,20.0,0.0,Санкт-Петербург,26825.0,5527.0,1.0,384.0,0.0,,6.000000000000001
107,1,11000000.0,101.0,2016-04-13T00:00:00,4,3.0,3.0,73.0,3,False,False,False,9.0,1.0,Павловск,20746.0,32900.0,3.0,127.0,3.0,405.0,122.0
108,9,9490000.0,80.0,2017-10-30T00:00:00,3,2.55,10.0,46.0,7,,False,False,11.0,1.0,Санкт-Петербург,35958.0,9860.0,0.0,,0.0,,
109,2,7497600.0,62.5,2015-12-08T00:00:00,2,,5.0,35.5,5,,False,False,9.5,,Пушкин,14517.0,26670.0,1.0,517.0,0.0,,1048.0
110,6,3850000.0,72.3,2017-09-29T00:00:00,2,,3.0,27.4,2,,False,False,23.6,0.0,деревня Пикколово,,,,,,,45.00000000000001
111,4,4590000.0,40.0,2017-05-29T00:00:00,1,,6.0,18.0,1,,False,False,10.0,0.0,Санкт-Петербург,20062.0,6175.0,1.0,241.0,0.0,,31.0
112,14,2500000.0,33.3,2018-03-27T00:00:00,1,2.55,9.0,19.0,3,,False,False,7.0,2.0,Всеволожск,,,,,,,226.0
113,8,5750000.0,78.0,2016-05-19T00:00:00,3,,27.0,45.4,27,,False,False,10.8,2.0,посёлок Парголово,53134.0,19311.0,0.0,,0.0,,426.0
114,5,4000000.0,21.4,2019-02-07T00:00:00,1,2.9,8.0,8.3,7,,False,False,6.3,,Санкт-Петербург,27089.0,5791.0,2.0,488.0,1.0,286.0,
115,8,3850000.0,42.0,2018-11-05T00:00:00,2,,5.0,27.0,4,,False,False,6.5,,Санкт-Петербург,43019.0,8535.0,0.0,,0.0,,73.0
116,18,10999000.0,97.2,2017-11-13T00:00:00,3,2.5,16.0,,16,,False,False,18.3,5.0,Санкт-Петербург,19426.0,21138.0,0.0,,2.0,390.0,394.0
117,10,8520000.0,84.7,2018-03-04T00:00:00,3,3.2,5.0,55.9,4,,False,False,8.4,1.0,Санкт-Петербург,37889.0,9816.0,1.0,156.0,0.0,,390.0
118,8,4500000.0,31.0,2019-02-24T00:00:00,1,2.5,9.0,17.0,4,,False,False,5.0,,Санкт-Петербург,35445.0,9089.0,0.0,,2.0,439.0,60.0
119,10,6200000.0,67.0,2015-10-21T00:00:00,3,,6.0,42.5,2,False,False,False,8.2,2.0,Санкт-Петербург,37836.0,12250.0,1.0,576.0,1.0,556.0,330.0
120,11,2500000.0,30.9,2017-10-20T00:00:00,1,2.75,5.0,16.7,1,,False,False,6.0,,Кронштадт,68997.0,50722.0,1.0,285.0,2.0,221.0,360.00000000000006
121,20,33000000.0,180.0,2017-02-17T00:00:00,3,2.9,9.0,86.0,8,False,False,False,24.0,4.0,Санкт-Петербург,25689.0,4264.0,1.0,633.0,0.0,,144.0
122,20,2100000.0,60.0,2019-04-06T00:00:00,2,2.5,5.0,31.5,2,,False,False,9.0,2.0,Волхов,,,,,,,
123,2,4300000.0,48.0,2019-04-04T00:00:00,1,,22.0,14.0,5,,False,False,23.8,,Санкт-Петербург,16951.0,15747.0,0.0,,1.0,1097.0,9.0
124,20,12490000.0,87.8,2019-03-10T00:00:00,3,,12.0,45.1,3,,False,False,24.0,1.0,Санкт-Петербург,32746.0,13845.0,0.0,,1.0,516.0,
125,20,4800000.0,65.9,2018-02-25T00:00:00,3,2.55,9.0,48.5,8,,False,False,6.3,,Санкт-Петербург,44855.0,17093.0,0.0,,0.0,,239.0
126,10,4050000.0,51.0,2019-04-23T00:00:00,2,,5.0,30.5,1,,False,False,6.6,,Пушкин,17974.0,32546.0,1.0,15.0,1.0,659.0,
127,6,6210000.0,55.0,2019-04-29T00:00:00,2,2.5,11.0,31.9,3,,False,False,8.3,,Санкт-Петербург,31398.0,11990.0,0.0,,0.0,,
128,6,2500000.0,31.0,2019-02-13T00:00:00,1,2.75,3.0,19.5,1,,False,False,5.0,,Ломоносов,48649.0,52073.0,0.0,,2.0,896.0,35.0
129,0,3200000.0,32.0,2018-02-01T00:00:00,1,2.5,9.0,18.0,3,,False,False,8.0,,Санкт-Петербург,49587.0,16425.0,1.0,215.0,0.0,,40.0
130,11,2650000.0,49.0,2018-06-23T00:00:00,2,2.8,8.0,31.0,8,,False,False,6.0,2.0,Кингисепп,,,,,,,163.0
131,8,3400000.0,71.1,2018-08-20T00:00:00,3,2.5,5.0,41.9,4,,False,False,9.0,2.0,Приозерск,,,,,,,
132,13,2699000.0,33.0,2017-10-13T00:00:00,1,2.5,9.0,19.0,7,,False,False,6.0,,Петергоф,45332.0,48757.0,0.0,,0.0,,49.0
133,12,3150000.0,31.0,2018-03-23T00:00:00,1,,25.0,,6,,False,False,,,посёлок Мурино,,,,,,,78.0
134,10,3800000.0,33.7,2017-07-10T00:00:00,1,2.65,17.0,15.1,3,,False,False,7.3,,Санкт-Петербург,35452.0,15458.0,0.0,,1.0,998.0,353.00000000000006
135,7,3990000.0,48.0,2018-09-28T00:00:00,1,3.25,5.0,20.5,1,False,False,False,17.0,,Сестрорецк,57998.0,34928.0,0.0,,2.0,443.0,216.0
136,16,6500000.0,51.8,2018-08-01T00:00:00,2,3.45,6.0,25.6,2,,False,False,7.3,1.0,Санкт-Петербург,20502.0,3618.0,2.0,533.0,1.0,812.0,163.0
137,11,13310800.0,85.1,2018-01-01T00:00:00,2,2.7,10.0,31.52,5,,False,False,26.85,1.0,Санкт-Петербург,31460.0,4263.0,1.0,141.0,3.0,133.0,340.0
138,8,4800000.0,40.0,2017-11-18T00:00:00,2,,3.0,29.0,2,,False,False,6.0,,Санкт-Петербург,23371.0,2913.0,0.0,,2.0,729.0,80.0
139,9,2200000.0,31.0,2016-04-13T00:00:00,1,2.5,5.0,17.0,3,False,False,False,5.5,1.0,поселок городского типа Кузьмоловский,,,,,,,172.0
140,8,16912000.0,105.7,2016-12-09T00:00:00,2,2.7,3.0,48.4,1,,False,False,15.4,,Пушкин,14352.0,26506.0,3.0,366.0,3.0,179.0,390.0
141,8,6500000.0,32.6,2019-02-27T00:00:00,1,,5.0,18.5,5,,False,False,5.5,,Санкт-Петербург,24764.0,5448.0,0.0,,0.0,,
142,1,4620000.0,86.2,2017-09-27T00:00:00,3,2.75,12.0,49.6,9,,False,False,17.0,1.0,деревня Куттузи,,,,,,,42.0
143,9,2990000.0,30.0,2016-06-08T00:00:00,1,2.5,9.0,20.0,9,,False,False,5.6,0.0,Санкт-Петербург,30067.0,6262.0,0.0,,1.0,332.0,60.0
144,1,2450000.0,27.0,2017-03-30T00:00:00,0,,24.0,15.5,2,,True,False,,2.0,посёлок Мурино,,,,,,,181.00000000000003
145,6,8290000.0,77.0,2015-09-21T00:00:00,2,2.77,16.0,40.0,5,,False,False,10.0,1.0,Санкт-Петербург,30012.0,7384.0,0.0,,1.0,260.0,807.0
146,11,4400000.0,53.6,2018-03-31T00:00:00,2,2.55,10.0,29.2,10,,False,False,7.8,1.0,Сестрорецк,60883.0,36102.0,1.0,341.0,2.0,256.0,55.0
147,10,27700000.0,179.6,2017-07-06T00:00:00,5,2.85,25.0,97.2,25,,False,False,33.8,2.0,Санкт-Петербург,19424.0,4489.0,0.0,,1.0,806.0,75.0
148,20,4790000.0,35.5,2018-11-04T00:00:00,1,2.65,25.0,17.0,20,,False,False,9.0,,Санкт-Петербург,36688.0,11841.0,0.0,,2.0,981.0,71.0
149,9,5300000.0,53.0,2018-06-28T00:00:00,2,2.65,12.0,31.5,6,,False,False,7.6,,Санкт-Петербург,10128.0,12247.0,2.0,633.0,1.0,878.0,55.0
150,9,3900000.0,45.0,2017-07-01T00:00:00,2,,5.0,29.0,3,,False,False,6.0,,Санкт-Петербург,39793.0,9052.0,0.0,,0.0,,222.0
151,15,2950000.0,44.9,2019-03-20T00:00:00,2,,5.0,28.0,3,,False,False,5.4,1.0,посёлок Аннино,,,,,,,
152,6,8090000.0,81.22,2018-08-08T00:00:00,3,2.64,24.0,42.9,10,,False,False,12.72,1.0,Санкт-Петербург,17755.0,16576.0,0.0,,1.0,594.0,104.0
153,12,4350000.0,55.0,2017-05-21T00:00:00,2,2.57,9.0,31.2,2,,False,False,8.3,0.0,Петергоф,45958.0,34425.0,1.0,589.0,0.0,,45.00000000000001
154,1,8200000.0,80.0,2018-11-06T00:00:00,3,4.15,3.0,44.2,2,,False,False,12.2,,Санкт-Петербург,20562.0,3167.0,2.0,344.0,1.0,838.0,38.0
155,8,96000000.0,317.0,2017-07-07T00:00:00,4,3.5,3.0,183.0,3,,False,False,,1.0,Санкт-Петербург,22673.0,1771.0,2.0,508.0,3.0,366.0,62.0
156,11,10990000.0,80.0,2018-06-25T00:00:00,2,2.75,22.0,34.0,19,,False,False,19.0,2.0,Санкт-Петербург,34967.0,14640.0,0.0,,1.0,564.0,7.0
157,15,7250000.0,75.75,2017-02-15T00:00:00,2,2.7,22.0,40.61,3,,False,False,15.0,2.0,Санкт-Петербург,51531.0,14184.0,0.0,,0.0,,30.0
158,15,3100000.0,47.3,2017-11-07T00:00:00,2,,5.0,27.5,2,,False,False,8.5,,городской посёлок Янино-1,,,,,,,45.00000000000001
159,14,7050000.0,66.0,2017-09-04T00:00:00,3,3.0,4.0,37.8,4,False,False,False,11.0,,Санкт-Петербург,26235.0,4937.0,0.0,,1.0,1013.0,98.0
